id	alergia	descripcion
1	nisi nam	condimentum curabitur in libero ut massa volutpat convallis
2	orci pede	dictumst aliquam augue quam sollicitudin vitae consectetuer eget
3	ac consequat	lorem integer tincidunt ante vel ipsum praesent blandit
4	cras pellentesque	sit amet lobortis sapien sapien non mi integer
5	nisi vulputate	eros elementum pellentesque quisque porta volutpat erat quisque
6	morbi non	integer ac neque duis bibendum morbi non quam
7	ipsum primis	posuere cubilia curae mauris viverra diam vitae quam
8	vehicula condimentum	egestas metus aenean fermentum donec ut mauris eget
9	nunc vestibulum	neque duis bibendum morbi non quam nec dui
10	nec dui	rhoncus aliquam lacus morbi quis tortor id nulla
11	nibh in	justo pellentesque viverra pede ac diam cras pellentesque
12	odio porttitor	potenti in eleifend quam a odio in hac
13	aliquam augue	vivamus tortor duis mattis egestas metus aenean fermentum
14	donec quis	maecenas leo odio condimentum id luctus nec molestie
15	ante ipsum	turpis sed ante vivamus tortor duis mattis egestas
16	erat nulla	iaculis justo in hac habitasse platea dictumst etiam
17	nec dui	mi pede malesuada in imperdiet et commodo vulputate
18	imperdiet nullam	erat id mauris vulputate elementum nullam varius nulla
19	posuere cubilia	habitasse platea dictumst maecenas ut massa quis augue
20	nascetur ridiculus	convallis nulla neque libero convallis eget eleifend luctus
21	ultrices aliquet	lacus at velit vivamus vel nulla eget eros
22	est et	amet lobortis sapien sapien non mi integer ac
23	quis libero	sit amet consectetuer adipiscing elit proin interdum mauris
24	est lacinia	maecenas rhoncus aliquam lacus morbi quis tortor id
25	justo eu	suspendisse potenti in eleifend quam a odio in
26	lacus purus	nulla sed vel enim sit amet nunc viverra
27	integer tincidunt	vulputate elementum nullam varius nulla facilisi cras non
28	proin eu	laoreet ut rhoncus aliquet pulvinar sed nisl nunc
29	donec vitae	dolor sit amet consectetuer adipiscing elit proin interdum
30	nam dui	pretium iaculis justo in hac habitasse platea dictumst
31	non ligula	amet diam in magna bibendum imperdiet nullam orci
32	velit vivamus	in purus eu magna vulputate luctus cum sociis
33	eget semper	donec quis orci eget orci vehicula condimentum curabitur
34	maecenas leo	convallis morbi odio odio elementum eu interdum eu
35	libero nam	integer pede justo lacinia eget tincidunt eget tempus
36	accumsan tellus	ante ipsum primis in faucibus orci luctus et
37	nascetur ridiculus	id massa id nisl venenatis lacinia aenean sit
38	eget eros	fringilla rhoncus mauris enim leo rhoncus sed vestibulum
39	eu tincidunt	nibh in lectus pellentesque at nulla suspendisse potenti
40	et commodo	at nulla suspendisse potenti cras in purus eu
41	id nisl	luctus et ultrices posuere cubilia curae mauris viverra
42	pellentesque eget	diam vitae quam suspendisse potenti nullam porttitor lacus
43	vestibulum ante	aliquam lacus morbi quis tortor id nulla ultrices
44	in congue	condimentum curabitur in libero ut massa volutpat convallis
45	sed nisl	non lectus aliquam sit amet diam in magna
46	semper interdum	id pretium iaculis diam erat fermentum justo nec
47	eget orci	id lobortis convallis tortor risus dapibus augue vel
48	morbi quis	arcu adipiscing molestie hendrerit at vulputate vitae nisl
49	dis parturient	pede malesuada in imperdiet et commodo vulputate justo
