idCiudad,FK_idEstado,Nombre,Latitud,Longitud
10,122,"Mobile",30.6871,-88.096
277,127,"Eagle",39.602,-106.765
429,135,"Macomb",40.4584,-90.6706
616,145,"Redwood Falls",44.4995,-95.1064
687,149,"Burwell",41.9224,-98.9816
1153,172,"Burlington",44.4805,-73.2168
1154,172,"Montpelier",44.2731,-72.5881
1155,172,"Newport",44.9201,-72.2004
1156,172,"Rutland",43.6238,-72.9553
1157,172,"Saint Johnsbury",44.4161,-71.9767
1158,172,"Wilmington",42.883,-72.8981
1163,76,"Ulaangom",49.967,92.033
1165,8,"Rio Branco",-8.233,-73.217
1166,1219,"Bel",-1.45,-48.483
1171,49,"Denpasar",-8.65,115.217
1172,10,"Macap",0.033,-51.05
1173,11,"Salvador",-12.983,-38.517
1175,13,"Teresina",-5.083,-42.817
1180,166,"Salt Lake City",40.7382,-111.881
1181,15,"Foz do Igua",-25.55,-54.5833
1182,35,"Montreal",45.5,-73.583
1185,3544,"Ulan-Ude",51.833,107.617
1189,3608,"Izhevsk",56.85,53.233
1190,3617,"Birobidzhan",48.8,132.95
1191,56,"Hermosillo",29.067,-110.967
1193,2891,"Tepic",21.517,-104.883
1196,2738,"Ondorhaan",47.317,110.65
1197,80,"Choibalsan",48.433,114.867
1201,16,"Macei",-9.667,-35.717
1202,17,"Jo",-7.1167,-34.8667
1203,18,"Boa Vista",-21.133,-41.567
1204,19,"Aracaju",-10.917,-37.067
1205,36,"Edmonton",53.55,-113.5
1206,37,"Toronto",43.667,-79.417
1211,59,"Guadalajara",20.667,-103.333
1212,60,"Pachuca",20.117,-98.733
1213,61,"Cuernavaca",18.917,-99.25
1214,62,"Tuxtla Gutierrez",16.75,-93.117
1215,63,"Villahermosa",17.983,-92.917
1216,2896,"Merida",24.55,-98.917
1217,81,"Moron",49.645,100.154
1218,82,"Suhbaatar",50.231,106.208
1221,133,"Honolulu",21.3084,-157.846
1222,138,"Kansas City",39.1108,-94.677
1225,1,"Melbourne",-37.817,144.967
1226,2,"Hobart",-42.917,147.333
1227,20,"Man",-3.113,-60.025
1228,21,"S",-2.517,-44.267
1229,22,"Porto Velho",-9.6,-64.883
1230,38,"Winnipeg",49.883,-97.167
1231,105,"Makhachkala",42.975,47.502
1232,106,"Yoshkar-Ola",56.637,47.871
1235,2160,"Ujung Pandang",-5.1167,119.4
1236,2887,"Saltillo",20.317,-98.267
1237,66,"Acapulco",16.85,-99.917
1238,2729,"Tsetserleg",49.5,97.6
1242,131,"Miami",25.7652,-80.273
1249,1220,"Recife",-8.05,-34.9
1250,24,"S",-23.533,-46.617
1251,25,"Palmas",-10.421,-48.436
1253,110,"Kazan",55.75,49.133
1254,2893,"Queretaro",32.55,-115.15
1255,2890,"Morelia",22.483,-102.383
1265,149,"Omaha",41.2166,-96.065
1267,158,"Oklahoma City",35.4131,-97.5141
1268,3,"Brisbane",-27.4683,153.024
1275,69,"Monterrey",25.667,-100.317
1276,70,"Ciudad Victoria",23.733,-99.133
